cnpj;razao_social;data_autorizacao;prefixo;descricao_linha;tipo_veiculo;sentido;horario;segunda_feira;terca_feira;quarta_feira;quinta_feira;sexta_feira;sabado;domingo;janeiro;fevereiro;marco;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;ida;18:30;x;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0002-00;MANAUS(AM) - BOA VISTA(RR);CONVEN. C/ SANITมRIO;volta;18:30;;x;;x;;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;18:30;;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;18:30;x;;x;;x;x;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-31;MANAUS(AM) - BOA VISTA(RR);SEMI-LEITO;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;ida;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;05/10/2016;01-0002-41;MANAUS(AM) - BOA VISTA(RR);LEITO COM AR;volta;20:00;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITมRIO;ida;18:30;;;;;x;;;x;x;x;x;x;x;x;x;x;x;x;x
34.805.903/0001-61;AMATUR AMAZิNIA TURISMO LTDA.;20/07/2016;01-0003-00;MANAUS(AM) - BONFIM(RR);CONVEN. C/ SANITมRIO;volta;16:30;;;;;;;x;x;x;x;x;x;x;x;x;x;x;x;x
